127.0.0.1 - - [21/Jan/2023:13:33:47 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:33:50 +0530] "GET /project_3/ HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:33:50 +0530] "GET /project_3/img/back%20image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:33:50 +0530] "GET /project_3/img/custom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:33:50 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:33:53 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:33:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:33:53 +0530] "GET /project_3/img/wc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:34:00 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 6913
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:34:00 +0530] "GET /project_3/img/businessman-g173508c6c_1920.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:35:56 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:35:56 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9555
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:35:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:36:15 +0530] "GET /project_3/ctl/TimeTableListCtl HTTP/1.1" 200 20035
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:36:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:36:16 +0530] "GET /project_3/img/whit.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:36:46 +0530] "GET /project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 15048
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:36:46 +0530] "GET /project_3/img/wallpa.jpg HTTP/1.1" 200 866172
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:36:46 +0530] "GET /project_3/img/avatar-g92feff2a2_1920.webp HTTP/1.1" 404 938
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:36:52 +0530] "POST /project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:36:52 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9555
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:36:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:36:56 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 17453
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:36:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:04 +0530] "GET /project_3/ctl/GetMarksheetCtl HTTP/1.1" 200 10704
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:04 +0530] "GET /project_3/img/wback.jpg HTTP/1.1" 200 946405
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:09 +0530] "POST /project_3/ctl/GetMarksheetCtl HTTP/1.1" 200 10944
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:15 +0530] "GET /project_3/ctl/CourseListCtl HTTP/1.1" 200 17063
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:16 +0530] "GET /project_3/img/bg3.png HTTP/1.1" 200 99939
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:27 +0530] "GET /project_3/ctl/FacultyListCtl HTTP/1.1" 200 18350
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:27 +0530] "GET /project_3/img/welc.jpg HTTP/1.1" 200 137385
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:53 +0530] "GET /project_3/doc/index.html HTTP/1.1" 200 5655
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:53 +0530] "GET /project_3/doc/jquery/jquery-3.5.1.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:53 +0530] "GET /project_3/doc/jquery/jszip/dist/jszip.min.js HTTP/1.1" 200 96937
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:53 +0530] "GET /project_3/doc/script.js HTTP/1.1" 200 5043
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:53 +0530] "GET /project_3/doc/jquery/jquery-ui.js HTTP/1.1" 200 71563
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:53 +0530] "GET /project_3/doc/jquery/jquery-ui.css HTTP/1.1" 200 20275
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:53 +0530] "GET /project_3/doc/stylesheet.css HTTP/1.1" 200 22271
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:53 +0530] "GET /project_3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 938
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:53 +0530] "GET /project_3/doc/jquery/jszip-utils/dist/jszip-utils.min.js HTTP/1.1" 200 1777
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:53 +0530] "GET /project_3/doc/jquery/jszip/dist/jszip.js HTTP/1.1" 200 97649
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:53 +0530] "GET /project_3/doc/module-search-index.zip HTTP/1.1" 404 938
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:53 +0530] "GET /project_3/doc/type-search-index.zip HTTP/1.1" 200 841
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:53 +0530] "GET /project_3/doc/member-search-index.zip HTTP/1.1" 200 8041
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:53 +0530] "GET /project_3/doc/jquery/jszip-utils/dist/jszip-utils.js HTTP/1.1" 200 4483
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:53 +0530] "GET /project_3/doc/package-search-index.zip HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:53 +0530] "GET /project_3/doc/tag-search-index.zip HTTP/1.1" 404 938
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:53 +0530] "GET /project_3/doc/module-search-index.js HTTP/1.1" 404 938
