127.0.0.1 - - [02/Feb/2023:14:18:20 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:18:21 +0530] "GET /project_3/ HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:18:21 +0530] "GET /project_3/img/custom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:18:21 +0530] "GET /project_3/img/back%20image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:18:21 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:18:26 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:18:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:18:26 +0530] "GET /project_3/img/wc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:18:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:19:40 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3617
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:19:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:19:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:20:03 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3618
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:20:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:22:08 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 6913
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:22:08 +0530] "GET /project_3/img/businessman-g173508c6c_1920.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:22:25 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:22:25 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9587
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:22:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:22:33 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16992
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:22:33 +0530] "GET /project_3/js/CheckBox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:22:33 +0530] "GET /project_3/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:22:33 +0530] "GET /project_3/img/background-g1d93e894b_1920.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:22:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:48:16 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 17453
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:48:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:48:16 +0530] "GET /project_3/img/whit.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:50:32 +0530] "GET /project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 15048
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:50:33 +0530] "GET /project_3/img/wallpa.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:50:33 +0530] "GET /project_3/img/avatar-g92feff2a2_1920.webp HTTP/1.1" 404 938
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:51:28 +0530] "GET /project_3/ctl/JasperCtl HTTP/1.1" 200 3380
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:52:00 +0530] "GET /project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 15048
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:52:00 +0530] "GET /project_3/img/avatar-g92feff2a2_1920.webp HTTP/1.1" 404 938
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:55:53 +0530] "GET /project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 15048
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:55:53 +0530] "GET /project_3/img/avatar-g92feff2a2_1920.webp HTTP/1.1" 404 938
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:56:01 +0530] "GET /project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 15048
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:56:01 +0530] "GET /project_3/img/avatar-g92feff2a2_1920.webp HTTP/1.1" 404 938
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:56:11 +0530] "GET /project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 15048
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:56:11 +0530] "GET /project_3/img/avatar-g92feff2a2_1920.webp HTTP/1.1" 404 938
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:56:18 +0530] "POST /project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:56:18 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9587
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:56:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:56:24 +0530] "GET /project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 15048
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:56:24 +0530] "GET /project_3/img/avatar-g92feff2a2_1920.webp HTTP/1.1" 404 938
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:56:58 +0530] "GET /project_3/ctl/TimeTableListCtl HTTP/1.1" 200 20035
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:56:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:57:31 +0530] "GET /project_3/ctl/TimeTableCtl?id=2 HTTP/1.1" 200 17520
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:57:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:57:31 +0530] "GET /project_3/img/wback.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:14:57:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
